cow_id,age,breed,feed_quantity,temperature,humidity,lactation_stage,milk_yield
06047999,3,Holstein,25.05,24.67,67.29,257,26.15
f7b92585,4,Jersey,19.41,35.4,49.56,384,9.44
c042e664,7,Holstein,28.37,1.06,63.2,145,34.37
93950794,7,Jersey,14.7,8.34,58.93,13,20.04
cc50d896,5,Holstein,26.49,28.73,50.55,120,32.23
69823d91,9,Jersey,16.78,31.5,64.2,233,10.25
21a8fae3,2,Holstein,24.66,-10.0,62.76,10,29.27
b1737eb6,4,Holstein,25.43,8.95,71.73,366,26.72
6201b548,2,Holstein,21.78,9.93,62.52,59,32.49
0a6ef031,3,Holstein,21.53,25.56,72.18,361,21.72
06f2e30e,8,Guernsey,20.87,25.6,50.77,274,13.08
128c7b6f,5,Jersey,20.48,10.33,96.57,390,17.21
952e34f1,6,Holstein,27.08,21.85,44.21,162,34.19
2ff33a11,2,Holstein,25.17,18.88,69.62,198,29.4
dd31c0c8,9,Holstein,25.57,27.38,61.66,217,21.95
2cf89e82,5,Holstein,24.27,14.2,47.55,11,32.7
ece17d99,6,Holstein,22.69,18.15,33.88,211,31.7
454a94a8,6,Holstein,21.01,-4.25,59.55,41,33.71
758e456c,10,Holstein,23.14,5.95,38.75,380,19.98
effee8fc,5,Holstein,26.8,23.27,64.51,16,32.7
a449e0d5,5,Holstein,26.02,17.27,65.48,109,38.1
cca1efc5,4,Holstein,22.97,11.3,76.88,149,36.91
2c4c53f8,10,Jersey,21.01,16.71,69.05,227,18.65
941fe175,5,Holstein,20.75,2.56,61.79,53,37.15
bc196e0b,8,Guernsey,20.34,17.71,45.08,387,10.73
cb81e3b7,6,Holstein,23.67,29.14,45.77,228,25.78
646e599e,7,Holstein,22.67,30.54,49.15,175,25.99
307c2c41,5,Holstein,23.22,26.73,68.88,162,28.15
7af80bed,8,Holstein,20.28,29.81,48.87,7,18.68
8716129a,2,Holstein,25.07,38.82,71.79,135,16.96
094123a3,4,Holstein,21.2,21.73,63.66,217,28.08
ed174e05,10,Jersey,17.69,16.04,57.31,157,15.96
68081ab9,2,Holstein,25.61,21.73,53.36,4,24.46
ae4c5062,7,Jersey,16.87,13.29,69.45,90,22.42
14d2fca5,3,Holstein,24.98,15.4,72.97,339,24.97
dc353982,5,Holstein,23.3,31.23,67.76,175,25.14
e89cdca3,10,Jersey,14.73,12.95,60.93,174,16.79
68630f18,6,Jersey,24.07,30.36,48.21,224,20.15
70cb2957,9,Jersey,14.08,26.55,62.77,210,14.83
011ce4b8,8,Jersey,15.48,5.76,56.0,235,18.77
bf9b5eb9,4,Holstein,21.71,24.48,65.57,156,28.65
b6fcafa9,7,Jersey,15.53,4.02,66.93,89,24.26
68801937,3,Holstein,27.15,20.27,68.58,247,29.5
3534b445,7,Guernsey,22.46,10.39,72.46,321,17.04
bf1c4f0f,9,Holstein,27.41,34.84,65.33,86,22.56
63dbc39a,3,Guernsey,14.25,26.18,56.89,255,14.96
4918a0b1,4,Holstein,21.47,20.6,40.15,91,33.47
5efcaa06,6,Holstein,34.49,41.0,56.29,10,14.61
914e24fb,10,Holstein,18.89,6.56,35.95,117,25.31
9d6a7dcb,10,Holstein,28.14,13.15,71.86,181,25.62
b8862656,10,Jersey,16.78,24.87,69.86,389,12.12
69823d91,9,Jersey,19.65,36.84,52.09,312,15.52
4a1bed79,8,Holstein,23.43,18.18,62.6,199,30.27
95d87597,4,Holstein,22.35,5.81,63.2,392,22.42
5370e95f,2,Jersey,20.03,20.92,55.25,324,16.79
fd7da32a,4,Holstein,22.04,32.66,54.47,40,25.79
68494725,9,Holstein,23.5,2.21,64.79,279,25.4
4c8a3948,2,Holstein,21.4,26.9,21.62,357,22.22
5370e95f,2,Jersey,16.22,9.13,43.71,3,13.8
64ef462e,10,Holstein,18.82,9.16,87.2,397,16.77
d8341f03,5,Guernsey,16.92,14.29,71.01,206,19.55
90b8c5ba,4,Holstein,22.94,14.02,81.34,149,32.4
6ae0fc83,8,Holstein,23.03,21.33,33.76,139,34.16
53478edb,6,Guernsey,18.52,4.12,71.89,153,20.03
d3336846,10,Holstein,23.85,39.96,100.0,292,11.94
7ae60dae,9,Jersey,17.18,30.82,74.93,379,10.31
5f499d47,10,Holstein,22.9,26.66,66.32,81,23.12
38b8ba65,8,Jersey,22.9,30.58,74.06,175,12.32
6fa32a3f,2,Holstein,26.38,9.08,54.19,32,31.44
5d7a3088,2,Holstein,24.16,19.4,66.82,388,26.47
d8109cd1,9,Jersey,12.66,25.01,60.75,339,10.65
3929e22c,4,Holstein,25.26,17.62,64.04,320,27.38
ba66ab4f,4,Jersey,20.9,15.21,47.06,151,23.91
a3503119,3,Jersey,21.64,13.51,71.58,375,17.75
b89ae380,4,Holstein,24.21,6.55,70.23,328,26.19
aa90349f,2,Holstein,19.43,7.73,53.48,140,30.78
2a131b4d,10,Holstein,21.89,22.65,74.22,376,19.72
0e1b2171,9,Holstein,23.53,32.38,42.59,379,16.96
c3b80014,7,Holstein,28.56,14.41,65.1,215,31.02
4dfbf087,6,Holstein,23.31,19.73,55.99,202,30.73
36fff514,2,Jersey,15.61,23.41,40.69,219,17.73
773ac735,9,Holstein,26.4,19.17,38.26,208,31.02
57922d84,6,Holstein,23.65,20.88,65.94,295,27.26
96a95b90,4,Jersey,24.14,36.73,80.11,367,10.75
61f76f2f,5,Holstein,26.33,31.9,75.21,48,30.7
ed174e05,10,Jersey,17.6,30.18,64.07,65,12.05
372466ed,5,Holstein,19.67,17.85,64.15,278,31.06
3b36112e,6,Holstein,23.02,6.18,83.11,7,26.1
fd7da32a,4,Holstein,25.69,27.22,46.58,46,29.22
87c92eda,4,Holstein,21.41,19.75,91.59,283,27.79
a0f51342,8,Jersey,23.25,22.61,64.46,379,17.89
bba15172,6,Holstein,27.18,32.2,75.54,168,25.26
4dcda30d,3,Jersey,15.08,12.16,49.64,69,19.29
7af0dc46,2,Holstein,19.57,36.15,74.96,338,9.51
e87d848e,4,Holstein,19.8,25.0,67.08,319,22.32
0d684075,2,Holstein,21.71,3.23,61.39,91,31.21
2f1c3aac,4,Holstein,18.85,6.24,54.91,107,33.49
7da0d799,2,Holstein,22.18,29.99,56.44,123,28.74
346c6a61,9,Jersey,16.56,8.46,61.7,335,12.44
7ea21197,4,Holstein,23.96,23.97,40.29,135,32.08
63c1806f,6,Jersey,23.25,13.19,46.47,3,17.57
3696545e,4,Holstein,26.37,34.88,61.28,348,19.4
f73f71d8,10,Jersey,23.61,17.91,79.02,69,18.27
99a7f8a5,6,Jersey,18.33,6.49,40.16,52,24.86
af2b2e61,6,Jersey,15.3,8.54,39.55,362,15.58
75af9eaf,8,Jersey,13.8,17.7,47.23,109,20.05
757d0f76,8,Holstein,25.26,22.84,63.27,76,31.98
694ae34b,3,Jersey,14.89,-3.22,44.01,160,21.93
85596f79,7,Holstein,26.93,35.95,53.0,85,26.04
0e440755,3,Guernsey,22.72,23.74,32.42,209,18.55
f89e43d6,7,Holstein,24.32,12.9,41.12,115,31.41
ae4c5062,7,Jersey,13.87,11.02,52.35,47,20.35
2ff33a11,2,Holstein,17.72,24.49,83.34,363,19.87
e64e4de4,2,Jersey,15.73,23.81,71.87,175,17.72
222434b4,8,Holstein,20.96,30.15,56.38,93,26.31
cd21ee11,5,Guernsey,19.3,27.58,59.89,295,15.07
ef38962b,9,Holstein,25.61,22.92,53.63,7,25.57
3ccb8b8c,9,Jersey,17.21,19.54,48.53,207,18.92
f79b49e2,7,Jersey,21.19,22.81,86.38,321,17.68
a3e86acf,5,Jersey,21.13,-0.86,57.2,233,28.37
d505f8c3,7,Holstein,21.31,12.0,59.05,30,30.37
ff714fbf,10,Holstein,25.99,17.24,74.11,185,27.43
01724ec6,6,Holstein,24.88,13.93,63.17,322,27.64
95b651b7,4,Jersey,20.11,9.22,49.67,182,25.88
158f6f0d,5,Holstein,23.61,13.95,26.92,372,25.88
727e6692,10,Jersey,15.71,17.91,91.65,348,14.0
ca9786d3,10,Jersey,22.31,12.66,61.23,136,16.91
2ff6c477,2,Holstein,26.01,27.51,69.36,314,20.17
2aeb49a7,5,Holstein,20.7,15.57,52.81,220,31.33
22edafd3,8,Holstein,25.59,25.41,81.63,64,28.47
4bfe185c,7,Holstein,28.92,9.67,65.97,170,32.69
8716129a,2,Holstein,27.1,13.7,44.88,40,33.01
51e1f3a1,2,Jersey,24.23,20.16,73.53,207,23.84
a868d649,6,Holstein,23.75,31.56,53.69,146,24.9
d09b871e,8,Jersey,15.56,9.08,73.35,166,20.93
63f38a4c,2,Holstein,26.69,11.83,50.86,378,21.18
99b42a30,7,Holstein,26.14,28.48,41.51,207,27.73
27e99102,9,Jersey,14.97,26.66,70.46,340,9.37
4e113777,9,Holstein,23.0,3.0,56.11,381,21.45
8f8d449f,5,Jersey,20.04,29.8,65.34,176,17.07
dc7fe98d,8,Guernsey,15.99,37.27,61.56,104,10.01
44405761,3,Holstein,25.81,24.69,36.97,256,29.27
9ae137ae,10,Guernsey,17.11,19.03,52.44,369,13.98
3827a093,8,Holstein,24.72,30.82,40.32,291,22.7
286e6f55,8,Jersey,12.75,30.71,90.3,208,10.03
65d28837,10,Holstein,26.65,21.45,60.36,383,21.97
ac1cb6fd,9,Holstein,23.06,6.46,51.7,211,28.09
8a138717,5,Holstein,16.45,23.68,28.5,315,23.8
0360820b,8,Holstein,22.22,31.18,68.24,166,20.88
5fcf5a5e,3,Holstein,25.67,15.62,75.88,182,31.85
64bdf953,2,Guernsey,21.03,14.81,62.3,59,23.07
05bf185b,9,Holstein,20.38,36.08,65.32,327,15.77
307c2c41,5,Holstein,22.99,20.93,51.99,209,33.89
6a766243,2,Jersey,15.06,18.21,40.98,296,21.08
29271f63,9,Guernsey,16.06,22.15,74.54,230,15.38
aac5161d,10,Holstein,22.86,2.61,76.69,150,27.02
351b3b78,5,Holstein,26.43,21.95,48.63,116,36.73
6990c15f,5,Holstein,20.96,24.29,54.88,239,31.85
9d09c662,4,Holstein,24.87,28.95,50.53,179,28.73
44405761,3,Holstein,23.38,16.46,47.04,309,25.09
68630f18,6,Jersey,12.81,8.06,55.48,251,18.26
241fa2c6,4,Holstein,23.81,18.88,48.43,84,36.6
a24a4f18,5,Jersey,14.96,15.89,52.74,192,21.19
8c8c3049,5,Holstein,26.55,15.51,76.36,125,40.39
0163afda,3,Holstein,25.05,22.36,44.05,128,32.16
0711979e,3,Holstein,18.34,21.16,58.48,65,30.75
694ae34b,3,Jersey,23.22,10.04,74.75,226,21.66
248f0b0e,9,Holstein,24.52,22.18,60.31,399,17.92
0430c149,3,Holstein,16.37,17.21,72.68,219,29.61
f4d65679,9,Holstein,21.6,-10.0,37.97,211,26.62
09c52e2d,6,Holstein,25.3,2.96,46.13,196,29.22
0325af37,6,Holstein,30.66,22.62,41.17,188,35.14
95d87597,4,Holstein,20.13,11.22,74.43,191,31.56
51e1f3a1,2,Jersey,16.36,19.69,77.6,246,19.47
45cd2f60,9,Holstein,21.92,20.67,66.68,185,28.31
241fa2c6,4,Holstein,25.56,12.82,56.54,177,36.46
62c200fd,10,Jersey,19.23,25.2,45.33,287,14.71
6f30c5fe,8,Holstein,24.89,34.94,67.92,45,22.98
9f1ac835,3,Jersey,15.86,6.81,50.88,385,15.07
c5a61c9d,7,Holstein,24.88,21.42,68.62,315,24.85
821167c8,6,Jersey,23.82,28.65,82.78,246,13.94
1417cb0f,4,Holstein,22.84,18.27,69.11,238,31.02
8e8a616f,4,Jersey,18.06,7.82,69.8,143,25.16
53ffed8d,8,Holstein,27.6,23.05,46.36,313,24.21
32fada4a,9,Holstein,22.29,26.49,71.36,208,23.0
48529d18,10,Holstein,28.29,28.81,83.34,42,19.52
f95ba31f,7,Guernsey,18.61,8.43,69.09,221,19.24
8d6ad174,9,Holstein,21.5,13.6,57.51,192,26.51
1f408383,3,Holstein,20.3,12.97,41.93,305,23.75
f7b92585,4,Jersey,14.71,18.84,63.22,273,19.73
464f5559,5,Holstein,23.24,23.31,68.0,218,32.41
9a5aaeba,4,Jersey,14.74,28.76,82.09,83,14.28
e83e6969,3,Holstein,24.06,28.5,53.18,210,26.19
6203c4ef,3,Jersey,16.56,15.32,42.68,388,14.97
37db0661,5,Jersey,17.83,23.24,42.78,375,17.97
d636b990,2,Holstein,21.15,6.86,72.81,211,30.2
761a5c2a,3,Holstein,23.19,16.16,74.31,140,33.44
8d3cc66a,7,Holstein,22.41,18.56,45.79,66,31.79
7e8707b8,3,Holstein,23.81,22.27,63.83,372,19.92
728e2c07,7,Holstein,26.73,24.15,50.34,25,31.51
0711979e,3,Holstein,29.73,10.88,62.83,227,32.83
15623530,9,Holstein,23.63,33.93,29.26,180,23.85
b476bc50,10,Guernsey,13.73,17.91,50.39,237,14.61
2aeb49a7,5,Holstein,26.97,35.16,69.03,188,25.61
12e3673b,7,Holstein,18.28,2.56,68.73,381,20.4
833087d7,10,Holstein,19.75,4.95,61.89,101,27.56
fade1e07,2,Holstein,23.72,26.45,64.59,335,22.29
ce152fd5,8,Holstein,20.45,31.54,52.22,17,19.6
57922d84,6,Holstein,20.13,4.81,20.0,262,28.72
8f3a83b3,2,Jersey,15.86,24.84,66.92,283,15.88
b6109ac9,6,Holstein,23.47,18.58,48.62,26,34.26
bf51ed56,6,Holstein,25.62,24.54,45.27,146,33.11
fd08f868,7,Holstein,28.65,18.65,49.4,375,25.2
5d366c55,2,Holstein,25.23,14.13,63.36,100,32.72
6ba77977,8,Holstein,28.79,24.25,77.96,145,27.17
f3ccddbc,9,Holstein,21.88,31.57,79.3,368,13.17
3702e9af,7,Holstein,22.69,23.17,55.01,190,28.29
834f415f,10,Holstein,21.37,21.53,75.27,246,20.46
2a167c4c,2,Jersey,16.49,22.25,70.39,313,15.35
75c1c421,9,Holstein,20.5,39.9,65.26,221,9.51
551ea421,3,Jersey,18.76,22.34,56.27,390,14.84
624e96cc,7,Jersey,12.15,26.55,52.9,378,12.34
36e8f36b,2,Holstein,25.61,23.38,56.24,323,24.89
727e6692,10,Jersey,19.35,19.06,66.29,297,15.22
ca9786d3,10,Jersey,22.46,33.47,52.88,267,11.72
d753cb96,9,Jersey,12.69,36.49,76.06,225,7.15
4766f875,6,Holstein,23.69,24.44,42.72,175,27.62
d31d58e7,6,Holstein,18.75,8.38,55.75,237,31.65
3c347b94,3,Jersey,21.15,11.6,56.63,25,25.6
cd0a397c,6,Holstein,22.88,19.61,59.06,85,34.68
900cd847,2,Holstein,23.45,18.42,59.61,187,29.37
98aded31,9,Jersey,12.81,9.01,47.82,298,16.87
7d4ace1c,10,Jersey,17.27,44.29,79.5,72,10.81
f59dad6c,6,Holstein,21.88,8.38,55.37,63,33.87
8e8a616f,4,Jersey,20.03,5.58,72.86,151,23.27
1cf55ff1,6,Holstein,29.81,-9.07,54.38,195,34.57
ced8267a,9,Holstein,25.58,22.52,42.21,64,30.45
71a386ab,6,Guernsey,15.03,15.41,49.58,164,19.59
04b56109,8,Jersey,14.12,35.68,47.11,141,11.92
37db0661,5,Jersey,20.28,9.98,48.71,38,24.59
791dcc7e,7,Holstein,20.69,21.43,43.07,50,31.75
70736dfa,9,Holstein,22.87,11.65,61.05,324,22.31
7b11f192,3,Holstein,26.68,22.46,20.0,68,37.91
324279af,5,Guernsey,12.49,16.33,82.47,138,19.04
53478edb,6,Guernsey,12.99,42.26,60.16,245,7.77
5fcf5a5e,3,Holstein,21.14,34.7,64.43,367,15.24
0487ea2c,5,Guernsey,16.64,24.6,79.64,260,17.68
2f1c3aac,4,Holstein,28.11,26.84,59.17,225,29.04
bfd49f89,3,Holstein,27.22,27.61,41.1,237,26.34
923d1bc7,10,Jersey,16.75,23.67,41.48,12,12.59
f4d65679,9,Holstein,24.23,31.95,67.17,176,19.35
b5cb5cfc,4,Jersey,18.66,31.95,73.81,386,12.15
71a386ab,6,Guernsey,18.04,23.85,79.22,340,18.43
241fa2c6,4,Holstein,25.89,32.16,62.51,216,22.42
36584f45,9,Holstein,24.69,21.33,58.02,173,25.7
41c60422,2,Jersey,17.65,28.74,52.54,148,18.28
22ce2131,8,Jersey,21.64,17.65,62.16,149,25.03
06f2e30e,8,Guernsey,20.0,20.86,56.79,337,18.35
399a12b6,5,Guernsey,17.75,22.02,56.38,169,16.18
2c0d6bde,8,Jersey,14.97,17.84,46.91,104,19.06
e8b21ad0,3,Jersey,21.51,7.02,48.63,190,22.85
48d3d936,6,Jersey,22.25,33.32,63.4,95,16.05
2a3706f1,7,Holstein,22.12,14.6,39.81,129,31.97
aac5161d,10,Holstein,22.31,12.04,57.24,16,26.34
4dcda30d,3,Jersey,14.54,18.79,29.9,340,17.84
21e1832b,5,Jersey,23.2,33.48,48.53,197,18.93
f73f71d8,10,Jersey,23.28,27.81,50.63,243,15.34
c90db4a6,10,Holstein,23.76,26.8,76.45,86,21.12
8a91468a,10,Guernsey,25.66,16.39,66.25,200,16.91
679df932,3,Holstein,24.59,26.73,78.03,240,23.64
06f2e30e,8,Guernsey,23.91,23.8,57.31,98,20.73
f59dad6c,6,Holstein,28.77,36.9,76.34,220,17.55
664b3b8c,3,Holstein,22.88,13.01,77.44,51,33.06
66f4acd0,3,Holstein,21.11,14.85,73.07,116,34.71
e414f9be,5,Guernsey,18.65,8.1,76.31,348,16.0
37db0661,5,Jersey,18.24,30.67,52.18,29,17.95
0323a382,3,Holstein,23.59,19.99,49.17,208,31.9
234c8d14,10,Jersey,15.57,2.06,39.67,47,21.7
a80444be,7,Holstein,22.44,21.73,67.66,210,27.55
791dcc7e,7,Holstein,22.79,34.51,87.11,230,15.67
0bda32d1,4,Guernsey,24.5,8.82,54.62,132,25.82
25e0055c,2,Jersey,18.37,11.44,44.58,244,17.79
f35e15cc,6,Holstein,27.19,17.3,55.66,16,33.58
edcc1814,6,Guernsey,17.01,12.44,62.59,304,14.28
389ec078,10,Holstein,19.82,42.71,53.93,222,10.24
64fdd93c,3,Guernsey,17.57,25.6,47.8,200,18.33
111ece9e,10,Holstein,25.59,26.82,61.89,249,22.73
a7af0dc9,10,Holstein,27.57,14.1,72.66,190,24.64
6f30c5fe,8,Holstein,23.47,14.5,57.79,259,24.64
45cd2f60,9,Holstein,25.28,17.07,38.26,95,31.27
cc581000,9,Jersey,10.7,20.26,33.98,22,13.84
e86a8272,5,Holstein,23.11,25.22,58.53,398,19.68
811360f1,5,Holstein,24.44,31.03,89.03,150,24.55
bfd49f89,3,Holstein,22.22,27.91,52.38,251,24.23
5ae48f21,9,Holstein,23.62,11.41,72.2,35,28.31
4eb757cc,6,Jersey,15.82,11.71,50.67,175,22.07
37d37ca2,9,Holstein,24.47,30.56,100.0,195,20.91
bec88bf6,8,Holstein,30.31,26.08,67.86,278,24.65
32fada4a,9,Holstein,22.64,29.12,34.0,200,22.52
4d39aa27,4,Holstein,24.48,27.85,76.74,377,20.89
36fff514,2,Jersey,15.11,29.78,28.42,146,17.79
ba0770ff,5,Jersey,23.34,8.86,86.55,111,26.37
d9af4e13,4,Holstein,24.16,9.89,52.27,323,28.08
739a340e,3,Holstein,20.22,10.75,36.04,269,27.36
0d684075,2,Holstein,23.03,5.96,99.68,319,26.44
4dcda30d,3,Jersey,21.58,31.81,50.59,35,15.12
1ec926a8,4,Holstein,28.1,15.04,68.93,233,33.7
c058ad9d,10,Jersey,16.19,25.0,52.0,338,14.52
6ebdc760,2,Guernsey,16.35,32.01,64.24,379,12.6
948cd8fe,3,Holstein,24.5,25.03,22.6,310,24.38
8cab37b9,6,Jersey,19.53,9.99,55.74,236,24.31
f79b49e2,7,Jersey,20.76,14.18,42.39,64,26.07
9d6af604,2,Jersey,20.23,31.43,34.01,343,12.52
5370e95f,2,Jersey,21.61,40.96,83.92,88,10.77
38b8ba65,8,Jersey,22.13,9.58,78.4,245,20.55
64cb67e0,5,Holstein,22.81,9.02,60.59,177,33.7
84941a56,7,Jersey,15.57,21.63,54.46,25,18.35
bf9b5eb9,4,Holstein,25.92,29.94,46.38,75,31.49
b1d33417,6,Guernsey,20.56,13.28,61.69,19,24.54
85689564,10,Holstein,24.69,16.37,51.73,1,19.0
41eb970d,3,Jersey,13.4,30.2,37.85,211,17.32
4766f875,6,Holstein,22.11,7.3,64.3,336,24.97
1bababba,6,Holstein,29.76,40.12,39.46,21,22.86
09c52e2d,6,Holstein,19.53,25.6,47.84,10,24.33
6ebdc760,2,Guernsey,21.21,4.11,82.2,168,20.77
a4d678e2,6,Jersey,17.68,11.35,41.85,377,18.64
f9e65954,7,Guernsey,15.08,21.78,62.13,93,20.54
9de5c7b2,7,Jersey,17.17,5.92,76.23,256,20.01
aa1a2c60,9,Jersey,20.35,16.07,39.56,37,19.84
7a4fdf14,2,Holstein,25.68,40.12,62.04,60,16.66
733e67a2,5,Guernsey,15.04,28.66,55.76,223,16.19
b3930ef4,10,Jersey,18.07,19.25,67.28,220,15.01
